episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,66.37,0.0,100.0,0.0,100.0,0.0,336.99,14.2,43.1,0.84,0.43
2,67.28,0.0,100.0,0.0,100.0,0.0,327.82,11.0,51.38,0.7,0.31
3,85.52,0.03,97.0,3.0,33.0,64.0,150.16,4.61,25.21,0.41,0.72
4,70.79,0.0,100.0,0.0,99.0,1.0,292.85,14.12,41.07,0.84,0.35
5,64.87,0.0,100.0,0.0,100.0,0.0,351.98,11.32,52.44,0.78,0.25
6,71.65,0.0,100.0,0.0,95.0,5.0,284.2,10.66,53.93,0.69,0.42
7,69.75,0.0,100.0,0.0,100.0,0.0,303.18,15.88,40.78,0.86,0.3
8,69.77,0.0,100.0,0.0,100.0,0.0,303.04,12.41,47.85,0.78,0.27
9,65.46,0.0,100.0,0.0,100.0,0.0,346.04,13.12,56.31,0.7,0.26
10,89.47,0.0,100.0,0.0,32.0,68.0,106.16,8.24,19.44,0.42,0.66
11,65.44,0.0,100.0,0.0,100.0,0.0,346.23,12.92,44.55,0.81,0.25
12,55.74,0.0,100.0,0.0,99.0,1.0,443.14,9.26,53.09,0.68,0.27
13,67.25,0.0,100.0,0.0,99.0,1.0,328.17,15.86,36.31,0.87,0.25
14,78.58,0.0,100.0,0.0,68.0,32.0,214.94,7.85,39.94,0.52,0.39
15,57.04,0.0,100.0,0.0,100.0,0.0,430.14,11.2,54.89,0.75,0.32
16,92.43,0.0,100.0,0.0,8.0,92.0,76.58,7.19,10.05,0.36,0.73
17,66.89,0.0,100.0,0.0,100.0,0.0,331.76,13.34,44.35,0.8,0.27
18,72.89,0.0,100.0,0.0,49.0,51.0,271.84,9.01,25.83,0.52,0.52
19,84.48,0.0,100.0,0.0,20.0,80.0,156.05,9.48,17.24,0.44,0.71
20,79.15,0.04,96.0,4.0,30.0,66.0,134.68,7.25,22.82,0.39,0.58
21,57.97,0.0,100.0,0.0,100.0,0.0,420.9,15.85,42.35,0.86,0.28
22,63.16,0.0,100.0,0.0,100.0,0.0,369.01,16.0,39.03,0.88,0.23
23,59.5,0.0,100.0,0.0,100.0,0.0,405.64,13.58,47.4,0.83,0.35
24,60.02,0.0,100.0,0.0,100.0,0.0,400.42,11.28,53.36,0.77,0.24
25,90.06,0.04,96.0,4.0,14.0,82.0,104.41,6.51,16.17,0.41,0.59
26,90.1,0.0,100.0,0.0,40.0,60.0,99.92,7.23,23.57,0.62,0.62
27,59.86,0.0,100.0,0.0,100.0,0.0,402.02,11.68,56.39,0.77,0.26
28,89.66,0.0,100.0,0.0,9.0,91.0,104.26,11.63,9.28,0.41,0.68
29,68.45,0.0,100.0,0.0,100.0,0.0,316.14,10.92,54.46,0.74,0.26
30,65.73,0.0,100.0,0.0,99.0,1.0,343.39,11.3,47.95,0.77,0.25
31,75.72,0.06,94.0,6.0,41.0,53.0,131.52,9.13,24.64,0.57,0.54
32,87.96,0.01,99.0,1.0,29.0,70.0,122.5,4.7,19.59,0.44,0.56
33,81.44,0.0,100.0,0.0,45.0,55.0,186.45,9.11,25.64,0.37,0.62
34,90.49,0.0,100.0,0.0,19.0,81.0,96.04,10.62,16.34,0.53,0.78
35,57.6,0.0,100.0,0.0,100.0,0.0,424.55,13.33,46.8,0.8,0.43
36,82.74,0.0,100.0,0.0,47.0,53.0,173.39,10.55,27.09,0.49,0.54
37,87.39,0.0,100.0,0.0,22.0,78.0,126.97,6.59,16.09,0.42,0.59
38,91.19,0.0,100.0,0.0,30.0,70.0,89.01,9.1,20.27,0.43,0.61
39,66.16,0.0,100.0,0.0,100.0,0.0,339.01,13.12,50.91,0.83,0.27
40,71.19,0.0,100.0,0.0,99.0,1.0,288.79,11.82,50.99,0.79,0.28
41,68.19,0.0,100.0,0.0,100.0,0.0,318.8,10.08,55.91,0.69,0.3
42,60.66,0.0,100.0,0.0,99.0,1.0,394.04,12.27,53.05,0.77,0.27
43,66.49,0.0,100.0,0.0,100.0,0.0,335.78,16.0,41.44,0.87,0.25
44,77.55,0.02,98.0,2.0,44.0,54.0,189.07,7.77,26.23,0.49,0.51
45,64.18,0.0,100.0,0.0,100.0,0.0,358.84,11.2,53.63,0.74,0.27
46,62.81,0.0,100.0,0.0,100.0,0.0,372.5,14.2,43.72,0.84,0.26
47,58.23,0.0,100.0,0.0,99.0,1.0,418.26,13.05,52.64,0.83,0.26
48,75.87,0.0,100.0,0.0,100.0,0.0,242.07,16.0,39.04,0.88,0.22
49,67.11,0.0,100.0,0.0,99.0,1.0,329.6,13.8,45.28,0.83,0.32
50,89.93,0.02,98.0,2.0,6.0,92.0,83.24,6.76,10.28,0.44,0.68
51,60.41,0.0,100.0,0.0,100.0,0.0,396.54,16.0,38.1,0.88,0.37
52,86.69,0.03,97.0,3.0,24.0,73.0,138.05,6.38,18.62,0.44,0.82
53,60.6,0.0,100.0,0.0,100.0,0.0,394.57,10.24,59.21,0.72,0.33
54,56.16,0.0,100.0,0.0,100.0,0.0,438.98,12.04,52.83,0.77,0.27
55,67.66,0.0,100.0,0.0,100.0,0.0,324.1,13.16,50.09,0.8,0.26
56,70.36,0.0,100.0,0.0,100.0,0.0,297.09,11.68,50.7,0.76,0.39
57,70.61,0.0,100.0,0.0,99.0,1.0,294.62,15.89,36.74,0.86,0.36
58,74.86,0.05,95.0,5.0,37.0,58.0,160.16,8.46,26.62,0.38,0.5
59,81.23,0.0,100.0,0.0,58.0,42.0,188.52,11.4,29.07,0.59,0.62
60,76.59,0.05,95.0,5.0,35.0,60.0,142.05,8.24,25.23,0.38,0.72
61,86.28,0.0,100.0,0.0,34.0,66.0,138.1,9.62,20.2,0.44,0.73
62,64.35,0.0,100.0,0.0,100.0,0.0,357.16,15.92,41.31,0.87,0.38
63,61.68,0.0,100.0,0.0,99.0,1.0,383.84,11.85,49.29,0.79,0.33
64,64.4,0.0,100.0,0.0,100.0,0.0,356.61,10.2,56.36,0.71,0.25
65,86.7,0.0,100.0,0.0,49.0,51.0,133.91,10.03,29.63,0.45,0.64
66,60.89,0.0,100.0,0.0,99.0,1.0,391.72,13.8,45.5,0.83,0.35
67,67.63,0.0,100.0,0.0,100.0,0.0,324.38,15.44,43.49,0.87,0.3
68,61.57,0.0,100.0,0.0,100.0,0.0,384.94,11.12,52.61,0.75,0.37
69,62.5,0.0,100.0,0.0,99.0,1.0,375.62,13.83,44.95,0.84,0.48
70,61.42,0.0,100.0,0.0,99.0,1.0,386.45,10.4,58.72,0.71,0.31
71,84.85,0.0,100.0,0.0,30.0,70.0,152.38,8.22,23.78,0.42,0.6
72,69.77,0.0,100.0,0.0,100.0,0.0,302.95,13.63,42.46,0.83,0.23
73,58.86,0.0,100.0,0.0,100.0,0.0,411.97,12.48,52.13,0.71,0.24
74,62.31,0.0,100.0,0.0,100.0,0.0,377.57,12.76,49.87,0.81,0.28
75,78.97,0.0,100.0,0.0,77.0,23.0,211.07,10.62,42.59,0.51,0.33
76,78.93,0.0,100.0,0.0,82.0,18.0,211.51,9.26,48.77,0.58,0.34
77,61.09,0.0,100.0,0.0,99.0,1.0,389.68,9.62,56.14,0.69,0.3
78,59.1,0.0,100.0,0.0,99.0,1.0,409.59,9.74,58.65,0.68,0.3
79,75.15,0.0,100.0,0.0,69.0,31.0,249.21,11.35,37.43,0.52,0.64
80,66.17,0.0,100.0,0.0,100.0,0.0,339.01,13.48,46.02,0.84,0.4
81,88.44,0.0,100.0,0.0,29.0,71.0,116.44,4.58,22.65,0.37,0.61
82,60.99,0.0,100.0,0.0,100.0,0.0,390.75,10.55,62.53,0.73,0.32
83,60.12,0.0,100.0,0.0,99.0,1.0,399.44,12.63,53.04,0.82,0.29
84,91.51,0.0,100.0,0.0,2.0,98.0,85.85,4.96,8.8,0.39,0.79
85,68.42,0.0,100.0,0.0,99.0,1.0,316.49,10.83,48.04,0.76,0.28
86,85.85,0.01,99.0,1.0,13.0,86.0,123.61,9.23,11.77,0.45,0.69
87,88.8,0.04,96.0,4.0,42.0,54.0,117.5,6.7,28.93,0.39,0.58
88,87.42,0.0,100.0,0.0,15.0,85.0,126.65,5.98,13.77,0.37,0.7
89,83.1,0.04,96.0,4.0,20.0,76.0,93.62,8.05,16.24,0.43,0.62
90,69.69,0.0,100.0,0.0,99.0,1.0,303.77,15.69,38.78,0.86,0.28
91,84.39,0.0,100.0,0.0,54.0,46.0,156.93,10.35,27.65,0.57,0.64
92,56.53,0.0,100.0,0.0,99.0,1.0,435.26,13.19,47.65,0.82,0.32
93,61.45,0.0,100.0,0.0,100.0,0.0,386.08,10.9,60.89,0.75,0.25
94,51.06,0.0,100.0,0.0,99.0,1.0,489.91,11.56,51.17,0.79,0.26
95,73.36,0.0,100.0,0.0,79.0,21.0,267.18,10.32,42.71,0.55,0.44
96,87.67,0.0,100.0,0.0,46.0,54.0,124.14,10.84,26.37,0.4,0.61
97,70.3,0.0,100.0,0.0,100.0,0.0,297.73,16.0,40.81,0.87,0.23
98,89.77,0.0,100.0,0.0,28.0,72.0,103.18,8.7,20.22,0.43,0.77
99,56.44,0.0,100.0,0.0,100.0,0.0,436.12,12.08,56.22,0.77,0.31
100,56.42,0.0,100.0,0.0,100.0,0.0,436.32,13.48,47.34,0.83,0.45
